crc32,81668423484,31436.5880
crc32,81772166324,31481.8640
crc32,81922569176,31547.8660
crc32,82443781336,31731.5730
crc32,82560071286,31776.7800
crc32,82110941696,31602.5870
crc32,81951495214,31545.1280
crc32,82071773282,31595.3070
crc32,82177855858,31637.5930
crc32,82005097106,31577.0600
crc32,81829929326,31496.1840
crc32,81835243266,31516.2080
crc32,81865161884,31524.4920
crc32,81658868344,31437.6860
crc32,81925674804,31542.4670
crc32,81839627060,31508.3590
crc32,81660042264,31439.9210
crc32,81573188704,31406.6460
crc32,81721192050,31464.4640
crc32,81603856292,31417.6000
crc32,22589708,8.6170
crc32,21997552,8.4690
crc32,23168010,8.5470
crc32,21158596,8.1500
crc32,22451318,8.3800
crc32,21050468,8.0560
crc32,20886984,7.9730
crc32,20363128,7.8430
crc32,20173764,7.7700
crc32,19791116,7.6270
crc32,20762550,7.9910
crc32,19739780,7.6030
crc32,20792200,8.0020
crc32,19813452,7.6340
crc32,19958000,7.6860
crc32,19917386,7.6700
crc32,20357244,7.8360
crc32,19893508,7.6650
crc32,21035554,8.0950
crc32,19876080,7.6560
